"State","Year","obs","perc_job/ind","ind"
"33","1960","288","0.04876735432022","2"
"33","1980","123","0.02082772424093","2"
"33","1990","494","0.0836495591465","2"
"33","2000","365","0.06180584835723","2"
"33","2010","66","0.01117585203171","2"
"33","2017","81","0.01371581840256","2"
"34","1960","1545","0.26161653619706","2"
"34","1980","489","0.08280290368955","2"
"34","1990","2101","0.35576462300972","2"
"34","2000","621","0.10515460775299","2"
"34","2010","132","0.02235170406343","2"
"34","2017","158","0.02675431243956","2"
"35","1960","917","0.15527661080433","2"
"35","1980","392","0.06637778782475","2"
"35","1990","1174","0.19879470129148","2"
"35","2000","1091","0.18474022070614","2"
"35","2010","180","0.03047959645014","2"
"35","2017","137","0.02319835952038","2"
"36","1960","5143","0.87086980301714","2"
"36","1980","1804","0.30547328886698","2"
"36","1990","7038","1.19175222120059","2"
"36","2000","4036","0.68342028484876","2"
"36","2010","722","0.12225704798335","2"
"36","2017","671","0.11362116232247","2"
"37","1960","8872","1.50230544280927","2"
"37","1980","1923","0.32562368874236","2"
"37","1990","4414","0.74742743739406","2"
"37","2000","2813","0.47632836007917","2"
"37","2010","541","0.09160812044181","2"
"37","2017","503","0.08517353896901","2"
"38","1960","2890","0.48936685411618","2"
"38","1980","944","0.15984855027186","2"
"38","1990","1944","0.32917964166154","2"
"38","2000","1687","0.28566155117439","2"
"38","2010","331","0.05604859124998","2"
"38","2017","366","0.06197517944862","2"
"39","1960","5500","0.93132100264325","2"
"39","1980","1815","0.30733593087227","2"
"39","1990","4593","0.77773770275281","2"
"39","2000","2569","0.43501157378009","2"
"39","2010","327","0.05537126688442","2"
"39","2017","424","0.07179638274922","2"
"40","1960","3322","0.56251788559652","2"
"40","1980","1054","0.17847497032472","2"
"40","1990","2792","0.47277240715999","2"
"40","2000","2662","0.45075936527933","2"
"40","2010","397","0.0672244432817","2"
"40","2017","364","0.06163651726584","2"
"41","1960","2133","0.36118321793419","2"
"41","1980","1089","0.18440155852336","2"
"41","1990","3572","0.60485065844394","2"
"41","2000","3120","0.52831300513581","2"
"41","2010","582","0.09855069518879","2"
"41","2017","626","0.10600126320994","2"
"42","1960","4693","0.79467081189178","2"
"42","1980","1725","0.2920961326472","2"
"42","1990","6206","1.05086875316437","2"
"42","2000","4107","0.69544279233742","2"
"42","2010","710","0.12022507488667","2"
"42","2017","684","0.11582246651054","2"
"44","1960","167","0.02827829226207","2"
"44","1980","78","0.01320782512839","2"
"44","1990","263","0.04453407703548","2"
"44","2000","98","0.01659444695618","2"
"44","2010","10","0.00169331091389","2"
"44","2017","18","0.00304795964501","2"
"45","1960","3882","0.65734329677475","2"
"45","1980","731","0.12378102780585","2"
"45","1990","1583","0.26805111766986","2"
"45","2000","1068","0.18084560560418","2"
"45","2010","205","0.03471287373488","2"
"45","2017","205","0.03471287373488","2"
"46","1960","3294","0.55777661503761","2"
"46","1980","1058","0.17915229469028","2"
"46","1990","2285","0.38692154382542","2"
"46","2000","2013","0.34086348696743","2"
"46","2010","440","0.07450568021146","2"
"46","2017","355","0.06011253744333","2"
"47","1960","5648","0.95638200416893","2"
"47","1980","1117","0.18914282908227","2"
"47","1990","2673","0.45262200728462","2"
"47","2000","1715","0.2904028217333","2"
"47","2010","246","0.04165544848186","2"
"47","2017","328","0.05554059797581","2"
"48","1960","12601","2.1337410826014","2"
"48","1980","3790","0.64176483636689","2"
"48","1990","12949","2.192668302405","2"
"48","2000","9052","1.53278503925941","2"
"48","2010","1455","0.24637673797198","2"
"48","2017","1293","0.21894510116686","2"
"49","1960","713","0.12073306816084","2"
"49","1980","298","0.05046066523412","2"
"49","1990","1222","0.20692259367819","2"
"49","2000","921","0.15595393516989","2"
"49","2010","154","0.02607698807401","2"
"49","2017","131","0.02218237297204","2"
"50","1960","690","0.11683845305888","2"
"50","1980","244","0.04131678629908","2"
"50","1990","705","0.11937841942972","2"
"50","2000","602","0.10193731701658","2"
"50","2010","99","0.01676377804757","2"
"50","2017","98","0.01659444695618","2"
"51","1960","4570","0.77384308765085","2"
"51","1980","1280","0.21674379697879","2"
"51","1990","2942","0.49817207086844","2"
"51","2000","1796","0.30411864013587","2"
"51","2010","311","0.05266196942219","2"
"51","2017","241","0.04080879302491","2"
"53","1960","2718","0.46024190639715","2"
"53","1980","1511","0.25585927908981","2"
"53","1990","4727","0.80042806899903","2"
"53","2000","4158","0.7040786779983","2"
"53","2010","736","0.1246276832628","2"
"53","2017","743","0.12581300090253","2"
"54","1960","1031","0.17458035522276","2"
"54","1980","230","0.03894615101962","2"
"54","1990","524","0.08872949188819","2"
"54","2000","472","0.07992427513593","2"
"54","2010","61","0.01032919657477","2"
"54","2017","42","0.00711190583836","2"
"55","1960","7456","1.26253261740147","2"
"55","1980","2598","0.43992217543039","2"
"55","1990","8881","1.50382942263177","2"
"55","2000","6190","1.04815945570214","2"
"55","2010","1171","0.19828670801731","2"
"55","2017","1141","0.19320677527562","2"
"56","1960","686","0.11616112869332","2"
"56","1980","259","0.04385675266992","2"
"56","1990","699","0.11836243288138","2"
"56","2000","661","0.11192785140858","2"
"56","2010","96","0.0162557847734","2"
"56","2017","110","0.01862642005286","2"
"1","1960","5348","0.60446317160062","3"
"1","1980","1052","0.11890337631336","3"
"1","1990","3066","0.34653778686004","3"
"1","2000","2804","0.31692496880481","3"
"1","2010","536","0.06058194838779","3"
"1","2015","480","0.05425249109354","3"
"1","2017","507","0.05730419371756","3"
"2","1960","264","0.02983887010145","3"
"2","1980","135","0.01525851312006","3"
"2","1990","435","0.04916632005352","3"
"2","2000","335","0.03786371774237","3"
"2","2010","46","0.00519919706313","3"
"2","2015","65","0.00734669150225","3"
"2","2017","51","0.00576432717868","3"
"4","1960","1887","0.21328010561151","3"
"4","1980","1111","0.12557191167694","3"
"4","1990","4111","0.46464998101162","3"
"4","2000","3210","0.36281353418811","3"
"4","2010","732","0.08273504891766","3"
"4","2015","717","0.08103965857098","3"
"4","2017","838","0.09471580736748","3"
"5","1960","2533","0.28629491654158","3"
"5","1980","595","0.06725048375137","3"
"5","1990","1607","0.18163281914027","3"
"5","2000","1714","0.19372660361321","3"
"5","2010","337","0.03808976978859","3"
"5","2015","307","0.03469898909524","3"
"5","2017","327","0.03695950955748","3"
"6","1960","23205","2.62276886630377","3"
"6","1980","12095","1.36704974953433","3"
"6","1990","37708","4.26198527949075","3"
"6","2000","21980","2.48431198799211","3"
"6","2010","4638","0.52421469519142","3"
"6","2015","4991","0.5641128813498","3"
"6","2017","5030","0.56852089625115","3"
"8","1960","2327","0.2630115557806","3"
"8","1980","1430","0.16162721304953","3"
"8","1990","4495","0.50805197388646","3"
"8","2000","2958","0.33433097636399","3"
"8","2010","650","0.07346691502251","3"
"8","2015","711","0.08036150243232","3"
"8","2017","746","0.08431741324122","3"
"9","1960","2842","0.32121995768305","3"
"9","1980","1356","0.15326328733927","3"
"9","1990","3488","0.39423476861312","3"
"9","2000","2069","0.23385084181782","3"
"9","2010","411","0.04645369549885","3"
"9","2015","405","0.04577553936018","3"
"9","2017","443","0.05007052823842","3"
"10","1960","523","0.05911261008734","3"
"10","1980","205","0.02317033473787","3"
"10","1990","737","0.08330017903322","3"
"10","2000","483","0.05459156916288","3"
"10","2010","104","0.0117547064036","3"
"10","2015","88","0.00994629003381","3"
"10","2017","103","0.01164168038049","3"
"11","1960","2173","0.24560554822142","3"
"11","1980","833","0.09415067725193","3"
"11","1990","1556","0.17586849196158","3"
"11","2000","446","0.05040960630775","3"
"11","2010","88","0.00994629003381","3"
"11","2015","86","0.00972023798759","3"
"11","2017","100","0.01130260231115","3"
"12","1960","10600","1.19807584498254","3"
"12","1980","4198","0.47448324502233","3"
"12","1990","16070","1.81632819140278","3"
"12","2000","10603","1.19841492305188","3"
"12","2010","2461","0.27815704287755","3"
"12","2015","2609","0.29488489429806","3"
"12","2017","2682","0.3031357939852","3"
"13","1960","7335","0.8290458795233","3"
"13","1980","1904","0.21520154800441","3"
"13","1990","6999","0.79106913575781","3"
"13","2000","5385","0.60864513445575","3"
"13","2010","1129","0.12760638009295","3"
"13","2015","1210","0.13676148796498","3"
"13","2017","1229","0.1389089824041","3"
"15","1960","785","0.08872542814257","3"
"15","1980","390","0.0440801490135","3"
"15","1990","1108","0.1252328336076","3"
"15","2000","659","0.07448414923051","3"
"15","2010","172","0.01944047597518","3"
"15","2015","166","0.01876231983651","3"
"15","2017","174","0.01966652802141","3"
"16","1960","810","0.09155107872036","3"
"16","1980","405","0.04577553936018","3"
"16","1990","774","0.08748214188834","3"
"16","2000","800","0.09042081848924","3"
"16","2010","173","0.0195535019983","3"
"16","2015","209","0.02362243883031","3"
"16","2017","214","0.02418756894587","3"
"17","1960","11949","1.35054795016004","3"
"17","1980","4539","0.51302511890337","3"
